id,category,title,detail_url,caption,page_1,page_2,page_3,page_4,page_5
mechanism-diagram-001,Mechanisms & Pathways,CRISPR-Cas9 Gene Editing Mechanism,https://figpad.ai/scientific-visualization/crispr-cas9-gene-editing,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/001-crispr-cas9-gene-editing-mechanism/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/001-crispr-cas9-gene-editing-mechanism/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/001-crispr-cas9-gene-editing-mechanism/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/001-crispr-cas9-gene-editing-mechanism/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/001-crispr-cas9-gene-editing-mechanism/05_cta.png
mechanism-diagram-002,Mechanisms & Pathways,Intrinsic And Extrinsic Apoptosis Pathways In Parallel,https://figpad.ai/scientific-visualization/intrinsic-extrinsic-apoptosis-pathways,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/002-intrinsic-and-extrinsic-apoptosis-pathways-in-parallel/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/002-intrinsic-and-extrinsic-apoptosis-pathways-in-parallel/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/002-intrinsic-and-extrinsic-apoptosis-pathways-in-parallel/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/002-intrinsic-and-extrinsic-apoptosis-pathways-in-parallel/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/002-intrinsic-and-extrinsic-apoptosis-pathways-in-parallel/05_cta.png
mechanism-diagram-003,Mechanisms & Pathways,JAK-STAT Signaling Pathway,https://figpad.ai/scientific-visualization/jak-stat-signaling-pathway,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/003-jak-stat-signaling-pathway/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/003-jak-stat-signaling-pathway/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/003-jak-stat-signaling-pathway/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/003-jak-stat-signaling-pathway/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/003-jak-stat-signaling-pathway/05_cta.png
mechanism-diagram-004,Mechanisms & Pathways,Notch Signaling Pathway,https://figpad.ai/scientific-visualization/notch-signaling-pathway,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/004-notch-signaling-pathway/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/004-notch-signaling-pathway/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/004-notch-signaling-pathway/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/004-notch-signaling-pathway/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/004-notch-signaling-pathway/05_cta.png
mechanism-diagram-005,Mechanisms & Pathways,TGF-β/SMAD Signaling Pathway,https://figpad.ai/scientific-visualization/tgf-smad-signaling-pathway,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/005-tgf-smad-signaling-pathway/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/005-tgf-smad-signaling-pathway/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/005-tgf-smad-signaling-pathway/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/005-tgf-smad-signaling-pathway/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/005-tgf-smad-signaling-pathway/05_cta.png
mechanism-diagram-006,Mechanisms & Pathways,PI3K-AKT-mTOR Signaling Axis In Cancer Cell Survival,https://figpad.ai/scientific-visualization/pi3k-akt-mtor-signaling-clean-vector,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/006-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/006-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/006-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/006-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/006-pi3k-akt-mtor-signaling-axis-in-cancer-cell-survival/05_cta.png
mechanism-diagram-007,Mechanisms & Pathways,NF-kB Inflammatory Activation Cascade In Macrophages,https://figpad.ai/scientific-visualization/nf-kb-inflammatory-activation-schematic-minimal,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/007-nf-kb-inflammatory-activation-cascade-in-macrophages/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/007-nf-kb-inflammatory-activation-cascade-in-macrophages/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/007-nf-kb-inflammatory-activation-cascade-in-macrophages/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/007-nf-kb-inflammatory-activation-cascade-in-macrophages/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/007-nf-kb-inflammatory-activation-cascade-in-macrophages/05_cta.png
mechanism-diagram-008,Mechanisms & Pathways,DNA Damage Sensing And Checkpoint Activation By ATM-ATR,https://figpad.ai/scientific-visualization/dna-damage-sensing-checkpoint-isometric-technical,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/008-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/008-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/008-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/008-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/008-dna-damage-sensing-and-checkpoint-activation-by-atm-atr/05_cta.png
mechanism-diagram-009,Mechanisms & Pathways,Autophagy Initiation And Lysosomal Degradation Pathway,https://figpad.ai/scientific-visualization/autophagy-initiation-lysosomal-degradation-watercolor-texture-ink-line,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/009-autophagy-initiation-and-lysosomal-degradation-pathway/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/009-autophagy-initiation-and-lysosomal-degradation-pathway/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/009-autophagy-initiation-and-lysosomal-degradation-pathway/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/009-autophagy-initiation-and-lysosomal-degradation-pathway/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/009-autophagy-initiation-and-lysosomal-degradation-pathway/05_cta.png
mechanism-diagram-010,Mechanisms & Pathways,Mitochondrial Apoptosis With BAX-BAK Pore Formation,https://figpad.ai/scientific-visualization/mitochondrial-apoptosis-bax-bak,A pathway figure generated from one structured prompt. FigPad helps turn scientific ideas into editable figures with SVG/PPTX export. Comment 'prompt' if you want the link and exact prompt.,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/010-mitochondrial-apoptosis-with-bax-bak-pore-formation/01_cover.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/010-mitochondrial-apoptosis-with-bax-bak-pore-formation/02_prompt.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/010-mitochondrial-apoptosis-with-bax-bak-pore-formation/03_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/010-mitochondrial-apoptosis-with-bax-bak-pore-formation/04_feature.png,/Users/kk/Desktop/auto video/figpad_gallery_carousels/posts/mechanism-diagram/010-mitochondrial-apoptosis-with-bax-bak-pore-formation/05_cta.png
